text,topic
"An act to amend Section 5019.50 of the Public Resources Code, relating to state parks.",State Agencies
"An act to add Chapter 2.7 (commencing with Section 18900) to Division 8 of the Business and Professions Code, relating to personal trainers.",Health
"An act to add Section 17075.20 to the Education Code, relating to school facilities.",Education
"An act to add Section 21090.2 to, and to add Chapter 3.5 (commencing with Section 25250) to Division 15 of, the Public Resources Code, relating to energy.",Energy
"An act to add Section 69614.4 to the Government Code, relating to courts.",Judiciary
"An act to amend Section 47614.5 of the Education Code, relating to charter school facilities.",Education
"An act to amend Section 1596.792 of the Health and Safety Code, relating to child care.",Legal Issues
"An act to amend Sections 226.7 and 512 of the Labor Code, relating to employment.",Labor and Employment
"An act to add Section 11267 to the Welfare and Institutions Code, relating to public social services.",Labor and Employment
"An act to amend Section 44011 of the Health and Safety Code, relating to vehicles.",Transportation
"An act to add and repeal Section 66406.8 of the Education Code, relating to college textbooks.",Education
"An act to amend Sections 13204, 14287, 15154, and 15208 of the Elections Code, relating to ballots.",Campaign Finance and Election Issues
"An act to amend Section 144 of, and to add Sections 144.5 and 144.6 to, the Business and Professions Code, relating to professions and vocations.",Labor and Employment
"An act to amend Sections 42023.1, 42023.2, 42023.3, 42023.4, 42023.5, and 42023.6 of, and to add Section 40118 to, the Public Resources Code, relating to solid waste, and making an appropriation therefor.",Environmental
"An act to amend Sections 65072 and 65073 of, and to add Sections 14000.6, 65071, 65072.1, and 65072.2 to, the Government Code, relating to transportation planning.",Transportation
"An act to amend Sections 7025, 7028.5, 7029, 7065, 7065.1, 7065.5, 7068, 7068.1, 7068.2, 7069, 7071, 7071.7, 7071.8, 7071.9, 7071.11, 7071.17, 7072.5, 7075.1, 7076, 7076.2, 7085.6, 7090, 7090.1, 7096, 7121, 7121.1, 7121.5, 7121.6, 7122, 7122.1, 7122.2, 7122.5, 7137, 7138, 7152, 7159, and 7159.10 of, and to add Sections 7071.6.5 and 7071.19 to, the Business and Professions Code, and to amend Section 17002 of the Corporations Code, relating to contractors, and making an appropriation therefor.",Labor and Employment
"An act to amend Section 3291 of the Civil Code, and to amend Section 685.010 of the Code of Civil Procedure, relating to judgments.",Judiciary
"An act to add Sections 862 and 15002 to the Financial Code, relating to financial institutions.",Commerce
"An act to amend Section 2000 of the Business and Professions Code, relating to medical practice.",Health
"An act to amend Section 1707.7 of the Insurance Code, relating to the Insurance Commissioner.",Insurance
"An act to amend Sections 789.10 and 10127.7 of the Insurance Code, relating to life insurance.",Insurance
"An act to amend Section 18691 of the Health and Safety Code, relating to mobilehomes.",Housing and Property
"An act to amend Section 1170 of the Penal Code, relating to sentencing.",Crime
"An act to add Section 5008.9 to the Public Resources Code, relating to public resources.",Public Services
"An act to repeal and add Section 1798.89 of the Civil Code, and to amend Section 4506 of the Family Code, relating to social security numbers.",Public Services
"An act to amend Sections 17008.5, 17020.6, 17024.5, 17041, 17052.12, 17062, 17063, 17072, 17085, 17132.5, 17144.5, 17152, 17206, 17250, 17250.5, 17255, 17275.5, 17276, 17501, 17551, 17952.5, 18165, 18180, 18631, 19116, 19131, 19134, 19164, 19166, 19172, 19179, 19443, 21015.5, 23045, 23051.5, 23456, 23609, 23712, 23732, 23772, 24305, 24356, 24357, 24357.1, 24357.7, 24358, 24416, 24949.5, 24990.6, and 24993 of, to add Sections 17020.15, 17131.3, 17132.8, 17204, 17225, 17257, 17257.2, 17257.4, 17275.2, 17275.3, 17279.6, 17560.5, 17681.3, 17755, 18031.5, 18037.5, 18151.5, 18155.6, 19172.5, 19185, 19186, 23046.5, 23703.7, 24303, 24329, 24349.2, 24462, 24831.3, 24941.5, 24950.5, 24990.2, and 24990.8 to, and to repeal Sections 24355.3, 24981, and 24988 of, the Revenue and Taxation Code, relating to taxation.","Federal, State, and Local Relations"
"An act to add Section 7026.13 to the Business and Professions Code, relating to contractors.",Labor and Employment
"An act to amend Section 65040.6 of, and to add Section 65083 to, the Government Code, to amend Sections 41081, 44223, and 44225 of the Health and Safety Code, to amend Section 75125 of the Public Resources Code, and to amend Sections 9250.2 and 9250.17 of, and to add Section 9250.6 to, the Vehicle Code, relating to land use.",Environmental
"An act to amend Section 12370 of the Penal Code, relating to body armor, and declaring the urgency thereof, to take effect immediately.",Crime
"An act to amend Sections 11106, 12030, 12076, 12077, and 12078 of the Penal Code, relating to firearms.",Guns
"An act to amend Sections 9600.5, 14000, and 14230 of, and to add Section 14230.7 to, the Unemployment Insurance Code, relating to workforce investment.",Labor and Employment
"An act to amend Section 17701 of the Business and Professions Code, relating to coupons.",Commerce
"An act to amend Section 379.6 of the Public Utilities Code, relating to electricity.",Energy
"An act to amend Sections 31520.1, 31520.2, 31520.3, 31520.4, and 31520.5 of, to add Section 31523.1 to, and to repeal and add Section 31523 of, the Government Code, relating to county retirement.",Senior Issues
"An act to amend Section 23987 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to add Section 49437 to the Education Code, relating to antibiotics.",Health
An act relating to military and veterans.,Military
"An act to amend Section 699.5 of the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 972.1 of the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 1636 of the Military and Veterans Code, relating to the military.",Military
"An act to amend Section 890 of the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 11713.1 of, and to add Section 11713.13 to, the Vehicle Code, relating to vehicles, and declaring the urgency thereof, to take effect immediately.",Transportation
"An act to add Section 60006 to the Education Code, relating to public school instruction.",Education
"An act to amend Sections 9875, 9880.1, 9884.8, 9884.9, and 9889.20 of, and to add Section 9884.76 to, the Business and Professions Code, relating to automotive repair.",Transportation
"An act to amend Section 1 of Chapter 937 of the Statutes of 1931, relating to tide and submerged lands.",Environmental
"An act to amend Section 201 of the Public Utilities Code, relating to public utilities.",Public Services
"An act to add Section 34004.1 to the Health and Safety Code, relating to redevelopment.",Municipal and County Issues
"An act to amend Section 1203.9 of the Penal Code, relating to probation.",Crime
"An act to amend Section 1203c of the Penal Code, relating to restitution.",Crime
"An act to amend Section 1808.22 of the Vehicle Code, relating to vehicles.",Transportation
"An act to add Section 4576 to the Penal Code, relating to correctional facilities.",Crime
"An act to amend Sections 7030, 7159, and 7159.5 of the Business and Professions Code, relating to contractors.",Labor and Employment
"An act to amend Section 298 of, and to amend the heading of Article 4 (commencing with Section 298) of Chapter 6 of Title 9 of Part 1 of, the Penal Code, relating to forensic data.",Crime
"An act to amend Sections 667.5 and 1192.7 of the Penal Code, relating to sentencing.",Crime
"An act to amend Sections 1200, 1213, and 1218.1 of, and to add Section 1218.3 to, the Health and Safety Code, relating to clinics.",Health
"An act to amend Sections 17052.12 and 23609 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to amend Section 22435.5 of the Business and Professions Code, relating to shopping carts.",Business and Consumers
"An act to add Section 11102.2 to the Penal Code, relating to criminal records.",Crime
"An act to add and repeal Article 3.7 (commencing with Section 2089.2) of Chapter 1.5 of Division 3 of the Fish and Game Code, relating to fish and wildlife.",Other
"An act to amend Sections 21636, 21637, 21638, and 21643 of, to amend, repeal, and add Sections 21628 and 21628.1 of, and to add Section 21628.2 to, the Business and Professions Code, and to amend Section 12071 of the Penal Code, relating to firearms.",Guns
"An act to add and repeal Section 52124.2 of the Education Code, relating to class size reduction, and declaring the urgency thereof, to take effect immediately. (PU 20090SB__019394ENR )",Education
"An act to add Section 102222 to the Health and Safety Code, relating to child protection.",Health
"An act to amend Section 113947.3 of, and to add Sections 113790, 113790.1, and 113948 to, the Health and Safety Code, relating to food safety.",Agriculture and Food
"An act to amend Sections 65863.10, 65863.11, and 65863.13 of the Government Code, relating to land use.",Environmental
